"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT5G18060",59.3856414556119,-2.34643975985828,0.658800856029984,-3.56168292494066,0.000368485237714738,0.0022136884164857,"SAUR23"
"AT5G03160",796.633369697555,2.13591731771781,0.461913148756689,4.62406693437277,3.76288353264325e-06,5.68851379267425e-05,"ATP58IPK"
"AT5G12930",219.686547800459,2.45122982762032,0.575251630373118,4.26114364253155,2.03383454020898e-05,0.000220351566546635,NA
"AT5G24770",51.2192769890726,-4.87640945673527,1.08078337256415,-4.51192124205801,6.42430441959847e-06,8.76564406850546e-05,"ATVSP2"
"AT5G02780",139.921592706818,3.29780748209047,0.686734477615202,4.80215802407744,1.56964740511225e-06,2.80694668838279e-05,"GSTL1"
"AT5G38700",107.558253439162,-5.09368666601021,1.40216258169975,-3.63273612667331,0.000280431756013542,0.00178016189131292,NA
"AT5G45090",83.6346943780603,3.42126046325775,0.868199052156038,3.94064063392096,8.12642914335972e-05,0.000663103820571943,"AtPP2-A7"
"AT5G01100",6491.13670669852,3.08777094898961,0.437210226553139,7.06243990066942,1.63604083489308e-12,5.84630730068863e-10,"FRB1"
"AT5G63790",2143.31343952823,2.02033510520889,0.41696926770578,4.84528540034866,1.26429803136243e-06,2.34591235434357e-05,"ANAC102"
"AT5G11416",3.73246919301931,-5.27177763917953,1.62849493454049,-3.23720849685483,0.00120705187595258,0.005835632652436,NA
"AT5G24420",23.2159982896207,-2.86484813618876,0.896541069318933,-3.1954455118995,0.00139615142704979,0.00653639811995347,"PGL5"
"AT5G03615",117.864592491668,-3.13092348269928,0.671822606303571,-4.66034255668458,3.15683556306655e-06,4.92685044277992e-05,NA
"AT5G02515",61.2729720184254,-4.92156691386991,0.757512886850517,-6.49700750878592,8.19333742699971e-11,1.13282122423582e-08,NA
"AT5G08990",16.096508276927,4.62729806156862,1.03079736099954,4.48904725278075,7.15424279574268e-06,9.56637652803631e-05,NA
"AT5G24206",14.7633585910354,3.2939300168067,0.924852622315166,3.56157287910485,0.000368639748552953,0.00221397491408534,NA
"AT3G28210",669.876565060943,2.32479532995314,0.746835551841697,3.11286108999524,0.00185283203142295,0.0082531263020142,"PMZ"
"AT3G12910",27.4874774616021,3.53691929244447,0.763171276349425,4.63450263663364,3.57796674396018e-06,5.47687878399694e-05,NA
"AT3G18010",14.2477873159735,2.89450279850295,0.913123287715832,3.16989265025046,0.00152495265581316,0.00704563709492474,"WOX1"
"AT3G08970",242.184041262768,2.60325475518585,0.722418840365506,3.60352555848176,0.000313929862042188,0.00194442098329154,"ATERDJ3A"
"AT3G54920",2613.85191825965,-2.23963652572698,0.384037052347884,-5.83182407018942,5.48247075932462e-09,3.11314216322636e-07,"PMR6"
"AT3G56660",1.58563087602195,5.27127779475607,1.68674688284353,3.12511488734439,0.00177735628446367,0.00797003166417008,"BZIP49"
"AT3G61190",802.550984235156,2.93825851930823,0.73493818237054,3.99796688999187,6.38888852108367e-05,0.000545820706875433,"BAP1"
"AT3G12145",107.933815190056,-2.00611702540203,0.412862177882902,-4.85904772311457,1.17951702321589e-06,2.21637985704193e-05,"FLR1"
"AT3G01080",208.669878309184,2.21485716233787,0.499938993014882,4.43025487766251,9.4121778340206e-06,0.000119459153574961,"ATWRKY58"
"AT3G15115",119.787556658396,-2.10392128109174,0.446031762266082,-4.71697636599395,2.39375484942365e-06,3.94379674158621e-05,NA
"AT3G09940",933.094941079912,3.034760685795,0.529069945589209,5.73602925491313,9.69219273120441e-09,4.89952162309616e-07,"AtMDAR3"
"AT3G09520",172.294728499813,2.96544993703381,0.585439796719402,5.06533712544167,4.07678218616442e-07,9.49386377420716e-06,"ATEXO70H4"
"AT3G51150",318.834700106073,-2.15055202380202,0.513926048531805,-4.18455540431501,2.85724756318312e-05,0.000286915276136305,NA
"AT3G46620",2843.62075128803,2.54921370241305,0.461805757549536,5.52009943734754,3.38807881052296e-08,1.29321033935357e-06,"AtRDUF1"
"AT3G08870",307.175699091831,2.18922054212237,0.344021119986865,6.36362250726339,1.97050087801155e-10,2.23172684140259e-08,"LecRK-VI.1"
