"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AT3G49570",33.2110864650787,-4.61465363941223,1.16027221113687,-3.97721637656963,6.97267126600065e-05,0.0015287751723733,"LSU3"
"AT3G28850",430.343333104887,2.31206442341964,0.316361885370252,7.30829006381009,2.70563244288119e-13,2.8817833550835e-11,NA
"AT3G23250",1029.41743285523,4.054190164237,0.598394435807254,6.77511340620632,1.24308712452653e-11,1.01436911850981e-09,"ATMYB15"
"AT3G19710",491.764185257317,-4.30512224374534,0.892670063392656,-4.82274741843971,1.41594226498671e-06,4.85101856548622e-05,"BCAT4"
"AT3G57640",408.143635926006,2.03449102194954,0.310442283228149,6.55352421968358,5.61948139502591e-11,3.97627430038949e-09,"ZRK15"
"AT3G57460",500.416261708432,2.24733798695087,0.631925950072563,3.55633122313273,0.000376069890061416,0.0064169699537714,NA
"AT3G57450",2720.81815904095,3.37785522117809,0.478153870809085,7.06436866329747,1.61347863379426e-12,1.53295620244575e-10,NA
"AT3G15210",4450.0824445201,2.54190451736899,0.319659215021817,7.95192003833053,1.836427779186e-15,2.77341708711843e-13,"ATERF-4"
"AT3G16510",799.313452764677,2.03095354151958,0.269344713529253,7.54035048584314,4.68710011319791e-14,5.71402680667386e-12,NA
"AT3G55980",15363.0792016681,4.67474219598079,0.467487506942014,9.99971577114386,1.52835088076057e-23,9.97717315288765e-21,"AtC3H47"
"AT3G44260",3085.6303958844,4.86154703210176,0.498664682302644,9.74913043701628,1.86055076318787e-22,8.96475376062689e-20,"AtCAF1a"
"AT3G23550",2232.20067945,2.17404228198656,0.502831663731304,4.32359860923215,1.53504477671106e-05,0.000403962303592999,"DTX18"
"AT3G25250",101.464913829611,3.73464821586328,1.03547500493317,3.60670049790755,0.000310115255420783,0.00546672685013099,"AGC2"
"AT3G48630",138.721769116279,3.83997748020908,0.756919939694337,5.07316200675035,3.91259120141484e-07,1.49113198009477e-05,NA
"AT3G05130",89.3706010894068,-2.00143693505223,0.485873706367579,-4.11925343730802,3.80101903895549e-05,0.00090546686957305,NA
"AT3G21520",137.306015010016,3.97308728338745,0.985226629850846,4.03266331117029,5.51482646487507e-05,0.00125366686536077,"AtDMP1"
"AT3G49620",196.226229845252,2.82105461235754,0.750170718367407,3.76055015649903,0.000169540075602477,0.00326139021860011,"DIN11"
"AT3G18690",339.971759531905,2.00629989095731,0.336591117134409,5.96064420249139,2.51245476786809e-09,1.42023874685326e-07,"MKS1"
"AT3G28580",406.522889361921,3.43283660572775,0.557657191064404,6.15581877313457,7.46905960071835e-10,4.55275178131739e-08,NA
"AT3G50760",688.848593761531,2.58273116495304,0.456422965264549,5.65863543578717,1.52581281623287e-08,7.5681063632609e-07,"GATL2"
"AT3G04220",300.043128449921,3.78602977223823,0.545830053287954,6.93627943245716,4.02560969956134e-12,3.65319567219833e-10,NA
"AT3G10815",120.731706625766,2.02442600199101,0.580248861330567,3.48889267503051,0.00048502584737629,0.00789024764739065,"BTL03"
"AT3G55950",884.535045275244,3.07986601318742,0.383235550778386,8.03648306356738,9.24537215945248e-16,1.50885964831322e-13,"ATCRR3"
"AT3G58990",170.886397764039,-3.26522211810604,0.735551408235488,-4.43914875499861,9.03153795549559e-06,0.00024900713025254,"IPMI"
"AT3G23240",31.798786082199,3.14236352548321,0.902745716918881,3.48089552416628,0.00049974037849633,0.00807705326184403,"AtERF#092"
"AT3G22160",589.065605888102,2.3254159883601,0.481068684930746,4.83385441871957,1.33914534166486e-06,4.61674348880269e-05,"JAV1"
"AT3G26200",269.912645820792,2.97004050223703,0.496726888858828,5.97922232287515,2.24205389468751e-09,1.29635556190832e-07,"CYP71B22"
"AT3G50060",1801.18542389945,3.34276945664372,0.446495293323572,7.4866846451195,7.06351466590797e-14,8.35931849672395e-12,"MYB77"
"AT3G13380",851.670606456902,2.08257090027412,0.459302921818691,4.53419911205402,5.7822464027594e-06,0.000167923208305022,"BRL3"
"AT3G09830",3659.64570874241,2.01039061190765,0.302107554264223,6.65455260396886,2.84163109685261e-11,2.12985512988912e-09,"PBL39"
"AT3G49530",2231.06788153193,2.37787792932552,0.277399516860366,8.57203342038431,1.01673571450256e-17,2.26106380817455e-15,"ANAC062"
"AT3G15356",13706.0217959277,2.20314870871229,0.442551836200761,4.97828396245281,6.41504932722506e-07,2.35183610933068e-05,NA
"AT3G52520",349.970321384922,3.05957610288778,0.280502818847602,10.9074700762635,1.06169955197449e-27,1.53468670237912e-24,NA
"AT3G44990",3.08388761694568,-6.08492710605795,1.76822463000506,-3.44126362838896,0.000579004106287033,0.00909728734389028,"AtXTH31"
"AT3G13850",11.0938407706695,4.79270382852404,1.04934207442411,4.56734171376319,4.93948414678573e-06,0.000147000500997798,"LBD22"
"AT3G03030",139.936162599839,3.26460030312076,0.424129758473902,7.697173418973,1.39109046976855e-14,1.79308903418511e-12,"PAM18-3"
"AT3G25780",2089.51593330496,3.12006004485431,0.548192344305844,5.69154253477422,1.25896784143387e-08,6.33772166424537e-07,"AOC3"
"AT3G19010",8045.75852308905,2.53675346825071,0.416267111707522,6.09405210477711,1.10087801537216e-09,6.55249070502543e-08,NA
"AT3G48640",241.477412366671,2.61528418199699,0.68303141599988,3.82893688450408,0.000128698004404565,0.00257867476746058,NA
"AT3G56880",3988.19416601178,2.46072425081048,0.32117508298708,7.66162875377686,1.83589695104923e-14,2.30764264586232e-12,NA
"AT3G19580",651.243114550892,2.16478270674606,0.324771273379653,6.66556091682239,2.63656419966165e-11,1.998357666987e-09,"AZF2"
"AT3G55840",4775.19359410471,3.36752200560086,0.385285581057709,8.7403271006305,2.3243645191121e-18,5.73636155771603e-16,NA
"AT3G54150",970.662914680761,3.32202020776629,0.514785283572685,6.45321518266992,1.09501700665407e-10,7.56309186472982e-09,"EFD"
"AT3G16720",1682.55624633106,2.08135343621614,0.387834192068844,5.36660634564857,8.02319025792633e-08,3.47677304603116e-06,"ATL2"
"AT3G01830",864.330745533432,5.30234096348149,0.779376245650674,6.8033135383216,1.02239795796237e-11,8.47961781773951e-10,NA
"AT3G02840",646.338761598805,6.42172402857362,0.632179384605865,10.1580725106645,3.05047310337464e-24,2.57218434137469e-21,NA
"AT3G15518",12.6165679853388,3.23717679664433,0.87299287396376,3.7081365646734,0.000208790052353776,0.00389427123454688,NA
"AT3G53810",979.286198595384,2.22110658880372,0.252138618747494,8.809069391421,1.26189057086457e-18,3.49820266884743e-16,"LecRK-IV.2"
"AT3G07195",2140.07700159593,3.08837581681194,0.44535450987082,6.93464587954381,4.07239977972002e-12,3.67915867599081e-10,"NOI11"
"AT3G47820",734.030274865535,2.12162087378237,0.241165371144113,8.79736947189884,1.40060569652238e-18,3.83027803790855e-16,"PUB39"
"AT3G23230",54.2613296418032,4.98619078125778,0.734460889511118,6.78891259216914,1.12981862731924e-11,9.33230186165695e-10,"AtERF98"
"AT3G11820",7281.0441182342,2.24074690452015,0.29149658393586,7.6870434440947,1.50574017323847e-14,1.92858632188778e-12,"AT-SYR1"
"AT3G24420",881.595692291586,2.44807791979259,0.343767282074922,7.1213231957864,1.0689579724711e-12,1.04002415812007e-10,"DLK2"
"AT3G03910",16.5202643047123,-5.27481370160651,1.49111639837733,-3.53749291963169,0.000403945016137747,0.00679520805617588,"GDH3"
"AT3G45640",11666.1492740926,2.01305569829989,0.278840626451838,7.21937733362392,5.22261541267511e-13,5.36497807646224e-11,"ATMAPK3"
"AT3G21150",182.740114994041,5.13606084667969,0.553196283444113,9.28433722421882,1.6271669390681e-20,5.58118260100358e-18,"AtBBX32"
"AT3G56710",1270.69802227145,2.89856869019234,0.535633746475725,5.41147511571828,6.25076817405709e-08,2.76193876721383e-06,"SIB1"
"AT3G09405",264.780116226456,2.02096385246338,0.49797399139485,4.05837229932946,4.94159433332159e-05,0.00114028557039258,"AtPAE4"
"AT3G16530",4740.60425337637,2.13297270837016,0.415664147953838,5.13148107401131,2.87471134238982e-07,1.12091586581778e-05,NA
"AT3G10930",516.968527742638,5.33804368390632,0.536223405595995,9.95488751180724,2.40094245808489e-23,1.47235977346254e-20,"IDL7"
"AT3G59700",943.580032031057,2.29580459716564,0.434346248173307,5.28565541160056,1.25255480809028e-07,5.17305135741288e-06,"ATHLECRK"
"AT3G46930",652.76577346229,2.60068711972952,0.323591534530673,8.03694424052678,9.21065569388281e-16,1.50885964831322e-13,"Raf43"
"AT3G52450",1408.72726502176,2.17678943753309,0.563816787979257,3.86080990127094,0.000113011804713268,0.00231714274770254,"AtPUB22"
"AT3G46080",428.856160761923,3.49979501140923,0.899932746920716,3.88895172820904,0.000100678138222908,0.00208966511099179,"ZAT8"
"AT3G11840",1078.99264950436,2.67738628031108,0.414514787779247,6.4590850778934,1.05337882754658e-10,7.30042031954112e-09,"PUB24"
"AT3G48090",2657.2607677522,2.04907659228329,0.433449892696965,4.72736670791113,2.27450275266678e-06,7.36465795291484e-05,"ATEDS1"
"AT3G12830",503.148177306762,2.34644927830252,0.345675975549531,6.78800218780696,1.13696927498531e-11,9.33231542167208e-10,"SAUR72"
"AT3G50800",290.039479599873,4.65382576572506,0.560095496308391,8.30898622895308,9.65231217027074e-17,1.8086466795349e-14,NA
"AT3G25882",816.958782178421,2.14812323464704,0.598340259362763,3.59013655028796,0.000330504776198637,0.00575101045221996,"NIMIN-2"
"AT3G59080",1397.81877521502,2.23013359024671,0.235937316603914,9.45222918674879,3.31690205519616e-21,1.22248263803019e-18,NA
"AT3G23880",188.723141292355,-2.11163189828552,0.380880520662661,-5.54407953079794,2.95504508851825e-08,1.38749994098246e-06,NA
"AT3G60550",15.5274951104058,3.67168332749891,0.77236465606013,4.75382100759031,1.99607770437879e-06,6.60042884044341e-05,"CYCP3;2"
"AT3G43250",119.391064152511,2.81458873203672,0.801423194617156,3.51198811182556,0.000444767893790468,0.00731769745255098,NA
"AT3G29639",26.6043397550388,-2.0670674057657,0.536257320743987,-3.85461853070446,0.000115910216974458,0.0023645917952743,NA
"AT3G21070",1599.85593550951,2.04794773972132,0.282777292749466,7.24226376102893,4.41256620736793e-13,4.62679286728005e-11,"ATNADK-1"
"AT3G23170",581.035213467928,2.06227345526951,0.434362050031898,4.74782144323628,2.05619437934975e-06,6.74575967105077e-05,"HRM1"
"AT3G02800",335.244437226888,3.19114272359332,0.475595417317571,6.70978442473613,1.94912149987063e-11,1.54079577315945e-09,"AtPFA-DSP3"
"AT3G44350",166.865937738729,2.66300292529063,0.722865512318667,3.68395348776396,0.000229644162929325,0.00423252178980032,"anac061"
"AT3G08720",2535.60546711313,2.32638013934722,0.274080092868311,8.48795735217804,2.10300713116096e-17,4.52750588439409e-15,"ATPK19"
"AT3G46110",742.35103540099,2.56440878689565,0.444141652401238,5.77385339346412,7.74788563546142e-09,4.02035798986751e-07,"AuxRP3"
"AT3G02020",263.528802014502,-4.30023140606234,0.962345847919938,-4.46848855362869,7.87742270563515e-06,0.000222027024086265,"AK3"
"AT3G50930",5640.08140138333,4.47579300507376,0.460559317469852,9.71816839937613,2.52278448785324e-22,1.16030885637923e-19,"AtBCS1"
"AT3G53150",125.079150895832,2.92774871316202,0.850900400780506,3.44076546500211,0.000580071101315995,0.009101476813139,"UGT73D1"
"AT3G09032",50.9818621553258,3.06292187601637,0.495856684304761,6.17703052709854,6.5318447403326e-10,4.03002871982045e-08,NA
"AT3G28340",1288.56198839359,3.39018736148282,0.401052891667188,8.45321759778296,2.83382832680311e-17,5.62237096563869e-15,"GATL10"
"AT3G25600",1023.13862537567,2.56692096932308,0.383340856272941,6.69618415913232,2.13932096245237e-11,1.67479693542037e-09,"CML16"
