"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","normalized_counts.A10_S1","normalized_counts.A18_S16","normalized_counts.A20_S2","normalized_counts.A28_S17","normalized_counts.A30_S3","normalized_counts.A38_S18","normalized_counts.B10_S4","normalized_counts.B18_S19","normalized_counts.B20_S5","normalized_counts.B28_S20","normalized_counts.B30_S6","normalized_counts.B38_S21","normalized_counts.D10_S7","normalized_counts.D18_S22","normalized_counts.D20_S8","normalized_counts.D28_S23","normalized_counts.D30_S9","normalized_counts.D38_S24","normalized_counts.M10_S10","normalized_counts.M18_S25","normalized_counts.M20_S11","normalized_counts.M28_S26","normalized_counts.M30_S12","normalized_counts.M38_S27","normalized_counts.N10_S13","normalized_counts.N18_S28","normalized_counts.N20_S14","normalized_counts.N28_S29","normalized_counts.N30_S15"
"AT1G68050",275.112307176701,1.57263893726201,0.362655017290993,4.33645989240548,1.44795832906468e-05,0.00726097558997219,97.4804757322039,524.993649408226,148.740551722508,358.26231831444,153.401004434946,326.381340461874,76.9520945920881,554.041565289542,40.2364895405063,627.104218251129,94.1723283249843,646.184745273626,35.7730730235454,385.343698233651,22.9196924704683,409.523384563777,29.5574705195923,424.397909544906,39.3893931796503,743.21230450043,59.0073534387908,560.188158617698,11.9441744352527,444.980396251629,113.855558017666,441.430611929901,82.1935015205921,457.358702643844,69.23074388687
"AT1G80920",19811.3039222748,-1.10562533505624,0.297587887568181,-3.7152901083816,0.000202970687755545,0.0360135820718875,27050.8320156866,13035.0695938566,30400.9892263986,12670.1935463484,44996.4658387627,13561.0708542586,25476.2734496206,7328.62032035237,18134.9211399857,14696.971234988,25020.2423169723,13220.1161209115,30111.9842175694,9779.60407131696,33744.3358000923,11069.1959019162,30405.2325149497,24653.5728950599,24122.6076851927,19878.3658392515,18601.7671136531,15032.2383482149,19488.4136129192,11744.8903422299,17116.2855553224,17161.4757137115,15386.6234846548,19338.2673629148,11301.1876288567
"AT1G68585",209.281308977932,-1.19639445461891,0.291996478696459,-4.09729069322993,4.1801383993061e-05,0.0144985146778681,86.942045923317,336.359567586223,126.363654560715,420.53364677993,146.428231506085,274.691987900039,67.9743502230111,352.491188172994,100.591223851266,357.449404403144,83.4097765164147,316.002571356382,104.763999568955,281.231068068381,117.872704133837,213.139830263962,133.008617338166,294.4801821332,95.0778456060524,267.462685852934,115.606243471917,388.932428155624,46.2836759366043,470.03754477842,55.0913990408061,325.143864939702,50.4902937912209,391.568802610154,49.7291258905686
"AT5G57110",886.759705700631,1.19791921237173,0.283441790591406,4.22633236218361,2.37531078785545e-05,0.0103963034437546,823.31482881929,803.399372579256,709.479268835679,649.400996854391,690.304519957258,934.100442724594,791.324039388639,778.677007626487,623.665587877847,551.851712060994,913.471584752348,665.090882021444,770.398679757068,959.867663474927,558.258223744977,1370.66337386731,501.133477445816,1069.17477892152,715.800351919852,1581.92607185744,848.983350496888,948.493276405329,694.255139049064,759.490812243072,1825.36168821871,719.141724807811,819.58662944819,1085.13702585688,1554.27895430522
"AT5G65207",609.225891227763,-1.36096077431797,0.302651076677769,-4.49679805952576,6.89844502671754e-06,0.00458104325256987,764.036161144301,305.678120542885,734.488742134154,380.097719204936,1194.66842847822,330.073437073434,524.556778136067,354.266962420717,707.491607753902,369.207608495352,846.205635948788,418.635885130249,1197.12033653793,269.169238963868,1232.75203073304,254.025143616483,1377.10942193555,760.259293742576,630.230290874404,408.078336684706,592.481997793573,488.674776666502,700.227226266691,331.791208078885,601.108376200795,527.115583396363,401.573964572036,486.686730369706,479.739802709015
"AT5G56100",233.799258688034,-1.71292467845728,0.432037834812902,-3.96475618668693,7.34710033271684e-05,0.0186171655536133,163.345662037747,410.222310468333,140.842823312463,300.03458260645,302.153493583985,279.860923156222,57.714070944066,80.7977282713915,117.356427826477,122.28532255897,98.208285253198,106.009409621692,130.316194585773,332.652550040252,160.437847293278,296.921210084702,298.261747970432,782.393425079385,115.451669664492,681.69295726153,119.218938580414,314.282494364464,107.497569917275,344.751802144466,59.9884122888777,210.387206725689,69.2773798530705,527.111849667515,50.7042067903837
"AT5G21482",838.170265690766,1.14332756836344,0.218049746173686,5.2434253578664,1.57622591283393e-07,0.000252957988577965,1018.2757802837,628.40148944318,1163.59865241325,668.810242090388,986.647369433858,625.441165998206,1213.27802473526,757.367716653813,828.20107637542,533.03858551346,934.996688369487,679.270484582307,683.521216699886,658.956768972866,772.72106043293,410.863886640909,767.150712122147,728.501627041937,994.242614051862,636.28582001377,753.849045973123,525.686088378086,740.538814985669,339.567564518234,1771.49454248992,634.986842117535,1471.2636772186,712.591808798641,1667.38833868377
"AT5G48250",670.066139518067,1.27683956722782,0.210797159819621,6.0571953071873,1.3851537321722e-09,6.66882264354306e-06,310.883679362164,1165.89498764684,360.662930725373,1191.2424263593,323.071812370568,1151.93414280661,212.90079503811,922.514721692041,192.799845714926,1187.57861331308,242.157415692817,1238.35195698206,162.256438356795,977.00815746555,108.04997878935,1071.73141066691,116.886360691115,1233.73723364302,70.6292567359246,1390.04429832658,143.303572637063,1137.9410075392,104.511526308461,1304.69980260186,358.706220421248,977.726727983385,237.186961530852,1191.35204518838,346.15371943435
"AT5G51720",73.2101961957473,-2.31995809601616,0.53540748890954,-4.33306994032003,1.47044370136523e-05,0.00726097558997219,181.787914203299,17.0452483574099,117.149638082329,17.791808132997,205.696801401405,23.6294183139818,57.714070944066,7.990984114753,117.356427826477,3.13552109125565,94.1723283249843,14.8548217304282,185.253413871932,8.88766355069377,288.133276771601,12.0645186941866,69.8631121372183,30.7953131642562,152.124552969684,51.852021244216,133.669719014404,57.0852434873578,111.976635330494,23.3290693180466,51.4186391047523,6.88539949284074,35.225786365968,23.7794819398879,22.4268606957466
"AT5G56550",1373.97454096411,-1.9142897277688,0.315110154053544,-6.07498585222843,1.23998653030628e-09,6.66882264354306e-06,1169.76570878645,765.899826192954,1026.70469330581,769.900061027871,1243.47783898025,1079.56904922004,1061.93890537082,514.086644715777,836.583678363026,798.773997997376,1136.79453478017,711.681004721423,2346.96911229475,1350.92485970545,2945.18048245517,1343.85333232467,2524.47668665064,3233.50788224691,1547.0523735042,2100.73923357217,1100.66777638887,1467.27895073549,1573.64498184455,1150.90075302363,991.645182734509,1538.50426445586,549.522267309101,2431.84835305254,533.369252198844
